Name,Value_1,Type_1
2000200114,additem 2000200114 1,string
2000200094,additem 2000200094 1,string
2000200095,additem 2000200095 1,string
2000200096,additem 2000200096 1,string
2000200097,additem 2000200097 1,string
2000200098,additem 2000200098 1,string
2000200099,additem 2000200099 1,string
2000200100,additem 2000200100 1,string
2000200101,additem 2000200101 1,string
2000200102,additem 2000200102 1,string
2000200103,additem 2000200103 1,string
2000200105,additem 2000200105 1,string
2000200104,additem 2000200104 1,string
2000200025,additem 2000200025 1,string
2000200106,additem 2000200106 1,string
2000200108,additem 2000200108 1,string
2000200107,additem 2000200107 1,string
2000200109,additem 2000200109 1,string
2000200113,additem 2000200113 1,string
2000200118,additem 2000200118 1,string
